,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
150,com.keepassdroid.database.PwDatabase,keepassdroid-v2.5.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
151,com.keepassdroid.database.PwDatabaseV3,keepassdroid-v2.5.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
152,com.keepassdroid.database.PwDatabaseV3Debug,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,com.keepassdroid.database.PwDatabaseV4,keepassdroid-v2.5.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
154,com.keepassdroid.database.PwDatabaseV4Debug,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,com.keepassdroid.database.PwDatabaseV4XML,keepassdroid-v2.5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,com.keepassdroid.database.PwDate,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
157,com.keepassdroid.database.PwDbHeader,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,com.keepassdroid.database.PwDbHeaderV3,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,com.keepassdroid.database.PwDbHeaderV4,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
160,com.keepassdroid.database.PwDeletedObject,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
